iso3,year,cate,cate_lb,cate_ub,k_l2,antisys_l5,milexp_gdp_l1,dem_l1,ln_gdppc,resource_rents,urban_share,decade,v2x_polyarchy_l1,abs_red_l1
COL,2018,-0.3341788352465139,,,11.378263192138926,0.8629999999999999,3.20809672439436,1.0,8.75676842867108,4.940258188938,77.2804816598084,2010,0.68,2.9
COL,2019,-0.3263837972077332,,,11.41206248392312,0.7682,3.0332327385044,1.0,8.77027816661759,4.30433092902696,77.4595528518377,2010,0.666,3.0
COL,2020,-0.31175741185319783,,,11.442880727488081,0.6474,3.14565669372153,1.0,8.681343179480681,2.55119417609951,77.6382533537045,2020,0.651,3.1
COL,2021,-0.31241569788562723,,,11.489224960732201,0.568,3.53440413219336,1.0,8.772946299201278,5.32396445388134,77.8339570326128,2020,0.643,3.4
DOM,1990,-0.1412959961837807,,,11.2500385734229,-1.135,0.800367985280589,1.0,7.927602336131184,2.01017458840216,54.9618770701908,1990,0.517,2.3
DOM,1991,-0.14792977327832713,,,11.2879947698072,-1.135,0.67572938756657,0.0,7.9164206430407535,1.40795463511044,55.2641317491819,1990,0.46,2.3
DOM,1992,-0.1659509983819904,,,11.322041027356274,-1.135,0.348155032228406,0.0,8.002896986243554,0.802566480155784,55.6153197882278,1990,0.43,2.3
DOM,1993,-0.16738861940589128,,,11.281612119265702,-1.135,0.559086816093422,0.0,8.054417967228826,0.270241819529112,56.0297239121388,1990,0.43,2.2
DOM,1994,-0.1736683733938027,,,11.21743743267605,-1.135,0.755070036358464,0.0,8.060838373075482,0.793311412444342,56.5282357577084,1990,0.43,2.3
DOM,1995,-0.17441658802835672,,,11.238805420139576,-1.135,0.733765624039859,0.0,8.097536302435133,1.14002177756892,57.1317099454393,1990,0.432,2.3
DOM,1996,-0.16438112644738997,,,11.266178831549999,-1.135,0.549477867602509,0.0,8.137251376347463,0.70339446524712,57.8287488204273,1990,0.444,2.4
DOM,1997,-0.1255546736287149,,,11.307529984343638,-1.135,0.633651609977827,1.0,8.205084043170112,0.503240742590817,58.6073675691044,1990,0.544,2.3
DOM,1998,-0.08633860444459841,,,11.349194470185267,-1.135,0.796926406823975,1.0,8.253454651750511,0.0481131529630172,59.4555813779028,1990,0.619,2.1
DOM,1999,-0.07435835819197595,,,11.367794552188984,-1.135,0.780062374149808,1.0,8.295098781667118,0.190528242624742,60.3614054332546,1990,0.639,1.9
DOM,2000,-0.06976375998955255,,,11.38404263039876,-1.135,0.81624388755279,1.0,8.324361976722292,0.341026792433444,61.3128549215919,2000,0.647,1.7
DOM,2001,-0.06069788327125949,,,11.419976697392238,-1.135,1.03009647155323,1.0,8.333026165468969,0.0227890061773118,62.2979450293469,2000,0.665,1.4
DOM,2002,-0.06963724638160662,,,11.465299676483573,-1.135,1.21349605211345,1.0,8.36189561307953,0.0276477786257098,63.2914022524877,2000,0.673,1.6
DOM,2003,-0.06800122627248768,,,11.543687747704706,-1.135,1.05891921128922,1.0,8.333911220254402,0.541632394719868,64.426197134766,2000,0.672,1.6
DOM,2004,-0.09323515552139905,,,11.566092209359217,-1.135,0.764145027120822,1.0,8.345695352172381,1.21413014952002,65.8914085229291,2000,0.671,1.3
DOM,2005,-0.10173739355047097,,,11.602449071106433,-1.135,0.687618052138186,1.0,8.422717568691741,0.721035390362793,67.5759180469321,2000,0.659,1.2
DOM,2006,-0.12305396025179216,,,11.608781179419807,-1.135,0.766536371799736,1.0,8.497952706400847,1.6062343112117,69.333853706035,2000,0.651,1.3
DOM,2007,-0.14608616606646613,,,11.62968933221925,-1.135,0.683423360678412,1.0,8.557333675012996,2.52804800376544,71.0193434994977,2000,0.644,0.8
DOM,2008,-0.12226221455576511,,,11.634803056613427,-1.135,0.62761905715381,1.0,8.577144956264481,0.234147045628384,72.4865154265802,2000,0.636,1.3
DOM,2009,-0.12722733327946434,,,11.66005212632019,-1.135,0.699861657175699,1.0,8.574452067694693,0.123503913034202,73.5894974865426,2000,0.638,1.8
DOM,2010,-0.14663406686039987,,,11.672203559892644,-1.135,0.667461170274579,1.0,8.642319216205266,0.172400177111422,74.1642773174177,2010,0.639,1.9
DOM,2011,-0.15237389546593638,,,11.70812527679683,-1.135,0.6675317048534,1.0,8.661046584483083,0.340210817624619,74.2440389501301,2010,0.625,2.0
DOM,2012,-0.15030397824888309,,,11.721866235309419,-1.135,0.602928060143009,1.0,8.675955893763161,0.446840708804603,74.2398679969568,2010,0.623,1.9
DOM,2013,-0.15671978020552074,,,11.732675111603214,-1.135,0.653151461976632,1.0,8.711942864856029,1.02972097005091,74.2251359951216,2010,0.612,1.9
DOM,2014,-0.157431934547881,,,11.765456664437968,-1.135,0.611824773045351,1.0,8.76877306832018,1.03750954514513,74.1931533822153,2010,0.6,1.7
DOM,2015,-0.15597643026648544,,,11.788928725312951,-1.135,0.651437855543241,1.0,8.824818042218277,0.535347858231712,74.1372305958285,2010,0.6,1.8
DOM,2016,-0.1638311790127046,,,11.789219497221417,-1.216,0.643674978238558,1.0,8.87874176696129,1.2819479321571,74.0506780735522,2010,0.59,1.6
DOM,2017,-0.16282006843047542,,,11.810538486214122,-1.296,0.63403055291349,1.0,8.906447583754677,1.03534454096242,73.926806252977,2010,0.571,1.7
DOM,2018,-0.1641524597981954,,,11.839807009699559,-1.376,0.6660634439633,1.0,8.964274338056054,0.868889463505184,73.7589255716938,2010,0.559,1.7
DOM,2019,-0.16754601245106374,,,11.867479591607902,-1.456,0.693991110098086,1.0,9.00172162213943,1.05544444208182,73.5403464672933,2010,0.573,1.6
