iso3,country,year,summary_abs_red,draw_mean_abs_red,available_draws,mean_minus_summary,absolute_difference
ECU,Ecuador,2000,-1.0,-2.648587226867676,100,-1.6485872268676758,1.6485872268676758
ECU,Ecuador,2001,-0.9,-2.587412033081055,100,-1.687412033081055,1.687412033081055
ECU,Ecuador,2002,-0.8,-2.239068374633789,100,-1.439068374633789,1.439068374633789
ECU,Ecuador,2003,-0.8,-2.411773986816406,100,-1.611773986816406,1.611773986816406
ECU,Ecuador,2004,-0.7,-2.317710113525391,100,-1.6177101135253908,1.6177101135253908
ECU,Ecuador,2005,-0.7,-2.0780843353271483,100,-1.3780843353271484,1.3780843353271484
ECU,Ecuador,2006,-0.6,-1.8911549377441406,100,-1.2911549377441407,1.2911549377441407
ECU,Ecuador,2007,-0.6,-1.7103679275512695,100,-1.1103679275512697,1.1103679275512697
ECU,Ecuador,2008,-0.4,-1.6097309112548828,100,-1.2097309112548826,1.2097309112548826
ECU,Ecuador,2009,-0.2,-1.3523077392578124,100,-1.1523077392578125,1.1523077392578125
ECU,Ecuador,2010,-0.2,-1.1827616500854492,100,-0.9827616500854492,0.9827616500854492
ECU,Ecuador,2011,0.1,-1.0025032424926759,100,-1.102503242492676,1.102503242492676
ECU,Ecuador,2012,0.2,-0.7585018920898438,100,-0.9585018920898438,0.9585018920898438
ECU,Ecuador,2013,0.1,-0.9760010528564453,100,-1.0760010528564454,1.0760010528564454
ECU,Ecuador,2014,0.1,-1.0714080810546875,100,-1.1714080810546876,1.1714080810546876
ECU,Ecuador,2015,0.0,-1.211566276550293,100,-1.211566276550293,1.211566276550293
ECU,Ecuador,2016,0.0,-1.1588245010375977,100,-1.1588245010375977,1.1588245010375977
ECU,Ecuador,2017,-0.1,-1.2282223510742187,100,-1.1282223510742186,1.1282223510742186
ECU,Ecuador,2018,-0.2,-1.4463590240478517,100,-1.2463590240478517,1.2463590240478517
ECU,Ecuador,2019,-0.4,-1.4340799713134766,100,-1.0340799713134765,1.0340799713134765
ECU,Ecuador,2020,-0.5,-1.6890376663208009,100,-1.1890376663208009,1.1890376663208009
ECU,Ecuador,2021,-0.5,-1.4949946212768555,100,-0.9949946212768555,0.9949946212768555
